Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
Loans and leases 30-89 days past due,"25,815","23,477","24,136","29,877","28,813","26,107","27,672","31,208","37,123","31,369","31,788","35,382","36,520","29,691","30,946","35,013","37,046","33,297","34,222","36,384","44,448","39,000","41,552","43,482","63,130","54,886","59,197","68,053","67,579","57,996","56,876","59,202","55,894","47,998","47,486","47,010","45,726","39,718","39,229","38,698","39,898","34,438","34,374","36,702","38,747","36,614","39,801","43,047","43,265","42,191","43,782","47,764","47,029","43,192","43,439","47,312","46,650","42,898","45,186","48,312","45,838","43,383","45,813","46,389","46,088","45,724","50,414","56,461","55,591","55,026","62,112","62,718","57,734","53,563","55,058","58,198","55,468","52,099","50,032","54,713","47,418","46,751","49,625","50,892","49,451","47,406","53,401","58,571","56,328","55,167","62,752","71,518","70,520","74,040","92,558","107,998","111,060","110,840","120,696","158,167","158,710","141,249","142,861","139,969","144,460","124,820","123,787","117,875","110,464","102,626","100,144","100,902","89,751","83,881","86,961","88,887","80,052","75,329","73,097","75,892","69,540","65,705","66,205","69,976","61,385","59,144","61,158","64,252","58,692","58,105","60,095","65,682","61,370","58,410","64,083","67,583","63,132","59,288","63,198","65,400","64,212","60,740","63,972","67,593","72,387","55,683","58,711","63,213","51,734","45,556","47,772","57,149","54,100","56,914","61,308","67,922","63,505","62,247","66,814","75,457","70,813","71,618"
Loans and leases 90 days or more past due,"10,896","9,562","9,404","9,251","9,649","9,501","9,983","9,404","10,481","10,608","11,019","10,389","10,599","9,925","10,296","9,391","10,215","10,080","10,377","9,603","9,749","10,536","11,741","10,738","14,479","14,333","14,864","14,552","15,331","14,880","14,945","13,863","13,400","12,226","11,831","10,389","9,910","9,412","9,718","8,446","8,186","7,968","7,896","7,703","8,144","8,396","9,067","9,256","9,499","9,659","10,585","10,612","10,528","10,277","10,398","10,867","10,309","10,223","10,357","11,333","10,864","10,242","10,695","10,319","10,600","10,315","10,999","11,782","12,448","13,120","14,109","14,121","14,636","14,006","14,815","15,691","14,626","13,987","14,316","17,363","15,518","14,663","15,585","16,038","14,750","15,445","19,632","21,047","19,771","19,876","21,102","22,275","21,918","22,507","26,081","31,515","33,868","35,222","46,588","74,846","90,942","98,825","109,538","129,903","143,738","133,274","131,318","129,038","125,934","121,929","126,917","133,583","131,692","128,075","130,111","123,666","119,803","109,335","99,746","96,665","89,402","83,260","79,330","75,601","68,794","62,938","60,293","60,738","56,682","52,738","52,731","53,770","49,951","46,154","47,122","51,050","47,683","42,742","41,618","42,132","40,154","37,597","38,146","40,154","37,854","41,394","43,496","44,205","41,561","35,271","33,898","35,475","32,815","31,062","32,230","35,440","34,448","31,589","33,320","36,480","36,843","34,362"
Loans and leases in nonaccrual status,"32,528","35,042","34,228","34,353","36,270","37,019","37,490","34,485","37,265","38,907","40,052","39,340","56,958","56,588","56,214","55,517","55,197","53,164","55,522","49,660","51,911","54,131","56,531","56,808","72,345","74,642","81,136","88,653","93,793","93,391","89,908","86,307","85,538","81,285","76,510","68,835","65,581","59,399","55,199","47,717","45,027","39,844","36,286","32,542","33,631","32,417","31,398","30,323","31,022","29,493","29,027","27,445","27,531","26,638","26,611","25,417","26,534","25,696","25,581","26,156","27,413","26,563","27,990","28,215","29,439","31,586","33,346","37,011","39,906","42,124","44,726","48,011","50,382","51,835","54,086","53,193","52,557","50,858","48,014","43,613","40,232","36,839","35,051","32,785","31,502","30,375","29,075","28,995","28,914","29,385","31,602","35,299","39,491","45,507","57,215","80,557","104,276","131,855","139,003","156,395","200,977","233,086","258,067","266,118","266,310","253,539","245,944","229,947","215,983","199,274","187,404","180,088","173,542","165,076","162,955","153,210","141,404","130,096","121,465","110,595","105,838","98,312","92,595","87,051","84,172","81,749","78,873","77,175","84,544","83,681","81,268","78,243","75,007","70,367","67,718","65,370","64,799","62,090","59,637","58,151","60,398","58,289","57,398","55,259","64,535","76,860","83,683","84,597","81,348","74,414","68,838","64,236","62,379","56,937","54,128","54,434","57,742","61,402","68,211","70,653","76,541","79,190"
Restructured and current loans and leases, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"2,738","2,725","2,752","3,076","3,163","3,179","3,218","3,273","3,290","3,192","3,345","3,252","3,217","3,358","3,331","20,256","20,093","22,096","24,933","24,521","24,731","23,866","25,333","25,085","27,275","26,197","26,934","26,842","24,230","23,180","20,474","15,614","15,016","14,415","13,726","12,543","12,073","10,874","9,855","9,225","8,610","8,876","8,280","7,864","7,395","6,302","5,843","5,322","4,848","4,625","4,283","3,836","3,569","3,213","2,826","2,769","2,673","3,267","2,704","2,535","2,506","2,745","3,192","3,492","3,315","3,363","3,276","2,933","3,294","3,254","3,399","2,526","2,442","2,524","2,529","2,533","2,755","2,962","3,341","3,301","3,365","3,635","2,606","2,862","3,227","4,123","6,934","14,244","18,863","20,937","23,381","32,906","46,593","50,078","58,166","64,431","66,326","75,654","82,333","114,943","119,510","127,204","129,387","123,779","106,551","104,632","104,856","105,570","101,953","100,512","99,209","96,898","94,093","89,189","84,032","79,616","76,930","74,260","72,256","71,074","69,618","67,825","65,503","64,022","62,838","61,547","60,221","58,433","57,597","56,374","55,738","55,254","52,872","51,016","48,286","46,841","48,297","49,637","49,319","48,971","47,202","45,375","42,763","41,843","42,193","43,434","44,061","12,838","20,885","29,333","36,455","40,331","44,269"
"Income earned, not collected on loans","28,886","30,858","33,685","31,199","31,998","31,616","31,747","30,609","31,687","31,195","30,812","28,888","28,964","29,965","31,156","30,554","30,359","30,791","32,315","33,179","32,247","33,114","33,998","33,524","29,974","29,953","30,642","28,504","27,648","26,185","25,202","22,916","21,458","20,830","20,265","18,678","18,533","18,175","18,603","17,663","17,681","18,732","19,590","20,634","21,414","22,488","24,026","24,433","23,947","24,692","25,042","25,160","24,924","26,226","26,932","26,782","27,000","27,829","29,171","27,901","27,354","27,417","28,865","29,741","31,235","33,058","36,343","37,284","50,217","48,492","48,540","45,064","44,822","44,718","41,303","40,817","38,978","38,922","38,537","38,926","39,763","40,575","42,704","44,926","47,303","48,675","52,017","55,074","55,258","57,915","62,362","64,759","64,545","66,281","70,734","69,405","63,586","61,340","60,337","57,568","53,092","53,357","53,369","52,179","52,200","50,211","51,041","48,208","49,039","46,717","46,445","46,304","46,179","45,505","46,735","44,057","44,071","42,669","42,309","42,336","42,244","42,364","43,259","42,477","42,249","42,282","43,385","43,903","44,927","44,549","45,351","46,920","46,744","47,296","50,448","52,650","52,596","54,383","56,775","58,090","59,935","60,342","58,862","57,938","55,237","57,173","57,926","57,196","55,303","54,601","53,970","54,002","54,538","59,519","68,697","79,712","82,156","83,994","91,317","92,863","95,278","94,819"
Loans and leases in foreign offices,"259,821","261,611","255,480","252,000","248,208","249,175","248,967","244,134","246,104","242,427","237,049","226,827","229,039","226,262","225,076","221,603","228,893","220,457","214,310","210,663","218,041","215,038","211,763","209,824","211,152","211,152","219,013","208,784","207,279","202,788","204,195","204,648","205,745","209,469","213,028","198,960","205,186","209,503","212,008","215,517","223,685","229,228","231,055","233,863","253,683","255,100","262,546","265,870","287,155","301,136","303,909","322,250","260,010","274,176","276,529","283,967","294,195","298,648","304,440","300,116","302,564","304,189","290,038","281,204","284,416","291,467","293,233","293,326","297,934","293,176","297,180","297,065","301,565","307,264","292,547","289,969","293,104","308,181","292,705","295,702","298,303","319,568","321,050","337,119","324,555","333,476","336,715","342,433","362,836","398,449","408,948","421,130","436,040","499,027","541,076","551,531","570,864","552,690","519,444","453,245","420,212","415,161","405,484","389,838","404,567","402,419","425,083","426,010","446,403","475,496","477,991","483,421","485,933","493,817","503,079","506,731","524,596","528,290","544,522","534,392","542,405","548,926","523,614","503,280","500,172","514,300","503,016","493,060","500,522","496,564","491,635","459,848","474,189","492,087","500,744","505,442","521,994","507,873","508,476","508,815","520,597","522,635","528,048","533,311","561,733","523,998","526,222","539,558","548,559","553,922","557,182","563,195","585,986","561,118","536,009","538,462","520,950","515,445","509,152","513,220","509,998","513,296"
Assets in foreign offices,"518,398","514,556","403,986","400,689","408,399","410,353","411,263","405,739","419,018","416,611","416,226","408,950","422,883","417,691","423,477","425,104","433,121","417,181","416,272","404,626","414,449","415,336","411,087","402,030","422,007","420,012","416,954","389,643","395,431","388,766","404,998","397,926","397,154","407,850","419,476","396,499","419,821","430,710","438,361","448,365","521,848","530,958","519,826","527,142","609,131","604,101","614,065","585,096","603,535","631,485","628,573","672,026","686,697","721,826","749,698","748,022","757,779","770,863","758,517","723,574","751,822","717,563","706,854","739,756","722,735","726,356","722,870","760,432","775,015","785,195","804,273","749,180","739,069","810,331","771,460","751,936","768,989","836,019","789,966","824,074","871,937","908,892","919,028","945,744","986,031","1,023,138","1,053,890","1,054,275","1,151,542","1,279,536","1,283,012","1,304,424","1,381,986","1,486,422","1,516,558","1,558,936","1,667,190","1,606,348","1,567,234","1,519,988","1,460,740","1,413,671","1,457,373","1,436,510","1,519,028","1,517,531","1,663,135","1,625,965","1,728,487","1,781,878","1,859,329","1,794,305","1,857,107","1,842,087","1,910,862","1,878,010","1,840,727","1,791,380","1,785,535","1,782,370","1,795,521","1,798,868","1,742,267","1,687,754","1,681,188","1,658,482","1,632,852","1,560,118","1,612,037","1,647,752","1,635,563","1,603,109","1,610,829","1,652,409","1,699,863","1,701,509","1,798,400","1,761,889","1,827,438","1,792,929","1,875,140","1,910,114","1,892,456","1,805,603","2,142,340","2,051,508","2,082,238","2,160,205","2,297,945","2,307,800","2,315,756","2,234,161","2,465,935","2,375,174","2,312,968","2,271,253","2,347,077","2,305,391","2,260,026","2,198,645","2,417,970","2,422,257"
Loans and leases held for sale, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"14,125","18,408","17,307","20,612","31,215","27,724","35,754","39,295","34,501","45,954","47,386","56,304","43,145","33,197","33,048","30,072","34,972","44,041","42,909","52,502","54,914","51,412","44,252","44,495","46,882","50,191","54,560","64,116","86,079","92,100","95,684","121,233","103,185","91,454","76,897","85,178","79,856","109,435","114,884","108,293","126,199","151,011","157,342","190,861","167,741","155,987","211,699","257,295","255,405","288,151","258,331","188,057","187,077","204,516","187,831","181,227","175,515","186,339","219,097","205,123","205,280","217,451","231,259","242,091","258,380","259,265","273,657","282,599","216,402","173,519","146,184","123,030","161,725","197,963","153,222","160,478","136,107","149,614","189,342","169,744","121,245","108,589","158,055","185,310","164,031","145,722","159,403","167,680","156,684","141,214","96,128","84,717","78,819","112,388","101,543","106,234","124,992","142,208","115,963","114,795","105,061","117,998","130,149","119,319","117,893","114,992","112,275","107,304","102,792","114,773","101,882","107,049","106,163","127,925","149,446","137,113","135,479","170,412","169,695","198,547","204,590","205,909","218,863","220,428","184,280","149,341","135,253","113,900","128,940","126,194","116,340","107,272","114,208","140,661"
Earning assets,"2,955,694","3,035,538","3,080,509","3,182,705","3,212,052","3,284,192","3,371,522","3,486,170","3,526,290","3,596,205","3,656,785","3,783,867","3,775,077","3,829,932","3,892,442","3,967,061","4,024,005","4,079,879","4,143,635","4,188,809","4,167,986","4,196,874","4,179,557","4,176,534","4,132,592","4,143,088","4,149,358","4,097,071","4,065,804","4,035,219","4,042,719","4,027,305","4,042,538","4,027,822","4,039,258","4,039,347","4,040,530","4,087,282","4,140,473","4,222,768","4,241,399","4,270,672","4,330,344","4,413,598","4,474,379","4,556,387","4,636,338","4,697,745","4,712,238","4,768,529","4,831,208","4,916,245","4,980,803","5,097,075","5,175,348","5,274,547","5,388,387","5,434,615","5,517,513","5,687,326","5,710,301","5,775,255","5,830,069","6,010,848","6,120,655","6,270,668","6,370,809","6,503,097","6,603,811","6,647,210","6,764,438","6,785,721","6,822,858","6,972,989","7,152,683","7,287,824","7,457,446","7,686,038","7,697,876","7,854,548","8,208,778","8,426,852","8,597,048","8,806,316","8,966,458","9,142,318","9,353,839","9,499,800","9,795,365","10,056,605","10,260,331","10,338,271","10,515,739","10,723,148","11,031,811","11,304,655","11,474,315","11,440,657","11,470,036","11,727,344","11,587,148","11,437,100","11,410,916","11,267,338","11,554,187","11,391,612","11,547,634","11,554,943","11,648,971","11,819,075","11,921,902","12,073,600","12,182,329","12,272,385","12,470,360","12,682,068","12,752,575","12,709,354","12,936,418","13,075,959","13,275,992","13,523,995","13,695,137","13,882,515","14,102,915","14,110,585","14,169,589","14,353,353","14,641,461","14,821,152","15,103,239","15,103,304","15,325,846","15,406,741","15,586,353","15,760,886","15,882,950","15,852,083","15,959,323","16,255,717","16,350,371","16,485,441","16,686,809","16,871,072","18,236,086","19,227,936","19,320,747","19,920,265","20,576,891","20,799,355","21,241,565","21,767,687","21,838,605","21,522,957","21,394,161","21,397,084","21,518,799","21,263,993","21,178,409","21,484,038","21,763,563","21,673,697"
Unused loan commitments - total,"459,604","472,430","485,485","495,916","508,051","516,358","531,099","543,205","547,010","561,217","577,469","582,124","658,321","674,157","679,059","686,341","704,030","717,081","728,747","737,784","735,430","739,652","751,997","756,033","1,123,613","1,182,757","1,173,528","1,169,665","1,182,983","1,204,730","1,219,665","1,245,442","1,276,228","1,284,809","1,327,552","1,348,919","1,382,996","1,434,155","1,484,691","1,551,460","1,631,366","1,668,940","1,760,629","1,867,697","1,990,637","2,096,554","2,169,686","2,278,068","2,386,987","2,490,020","2,558,395","2,692,521","2,827,170","2,969,668","3,104,178","3,233,777","3,484,625","3,704,345","3,827,721","3,898,571","3,938,477","3,906,050","4,021,483","4,166,592","4,286,164","4,399,846","4,595,726","4,733,681","4,842,034","4,953,635","5,049,775","5,164,885","5,400,240","5,532,463","5,600,357","5,652,004","5,720,931","5,895,023","5,881,823","5,848,483","6,112,077","6,184,708","6,332,087","6,507,822","6,484,707","6,681,631","6,898,317","7,121,278","7,297,380","7,557,799","7,703,202","7,572,946","7,822,050","8,086,533","8,301,846","8,315,853","8,292,731","8,147,556","7,852,407","7,150,377","6,617,850","6,305,132","6,125,749","5,964,162","6,102,623","6,006,513","6,061,456","5,692,993","5,807,665","5,765,582","5,791,148","5,711,934","5,790,453","5,791,713","5,810,412","5,833,333","5,907,328","6,018,123","6,126,180","6,120,553","6,218,955","6,327,481","6,435,132","6,488,525","6,628,574","6,734,282","6,857,469","6,914,898","7,035,741","7,071,412","7,186,500","7,202,404","7,319,365","7,348,535","7,409,712","7,516,185","7,721,880","7,736,524","7,842,636","7,819,727","7,989,400","8,049,052","8,133,442","8,226,152","8,034,514","8,366,753","8,412,087","8,449,925","8,724,541","8,914,331","9,073,733","9,032,247","9,359,963","9,456,490","9,499,142","9,569,479","9,693,679","9,815,839","9,829,257","9,741,957","9,901,135","9,807,641"
  Unused home equity lines, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"49,969","52,633","54,616","55,383","57,109","58,313","59,037","61,017","61,470","63,684","64,310","66,983","67,045","68,637","70,464","72,555","75,029","77,074","77,689","80,319","82,478","85,225","87,077","88,559","90,964","93,655","94,958","96,764","97,690","102,815","104,913","110,392","114,041","119,708","123,396","124,851","129,479","133,227","145,701","151,199","158,457","167,195","170,288","178,457","193,389","204,214","205,810","214,706","210,748","236,119","244,137","256,676","274,177","287,001","308,925","326,307","403,036","434,995","458,042","477,055","504,948","540,543","563,871","586,800","613,052","635,460","656,140","668,175","688,529","704,006","717,162","718,230","708,906","677,637","653,224","627,126","587,433","559,430","538,841","522,292","514,312","505,425","497,143","485,789","484,482","477,645","467,946","461,155","459,834","452,107","442,632","436,797","434,820","428,792","424,964","422,808","423,339","419,096","417,162","414,968","416,681","412,892","410,740","411,182","415,409","415,291","415,551","415,556","420,690","420,479","419,314","419,030","422,297","420,359","421,784","423,320","429,626","430,256","430,020","430,128","428,521","434,240","429,317","425,087","425,787","427,015","427,098","426,962","433,565","437,727","445,845","450,565","458,848","459,295","457,780","455,384","457,972","454,953"
  Unused credit card lines, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"310,148","364,985","373,153","391,625","406,548","432,376","455,378","477,456","502,022","523,799","549,323","572,933","586,927","609,997","629,980","662,934","718,843","759,796","808,967","877,768","973,513","1,041,962","1,078,942","1,158,788","1,220,079","1,285,288","1,331,330","1,417,935","1,502,423","1,573,349","1,632,736","1,694,133","1,808,495","1,957,119","2,047,257","2,042,675","2,058,028","1,988,637","2,048,436","2,129,462","2,224,136","2,304,660","2,432,504","2,539,619","2,614,505","2,710,434","2,786,308","2,884,737","3,178,846","3,236,900","3,322,361","3,360,738","3,401,704","3,436,058","3,466,492","3,393,550","3,759,865","3,817,099","3,846,361","3,943,261","3,820,953","3,893,497","3,991,280","4,128,316","4,204,315","4,320,355","4,393,521","4,189,119","4,320,420","4,443,401","4,572,344","4,676,368","4,702,859","4,709,445","4,586,539","4,102,691","3,696,108","3,532,497","3,413,967","3,302,717","3,245,401","3,175,419","3,168,469","3,141,443","3,178,791","3,204,031","3,159,035","3,137,583","3,156,222","3,125,549","3,120,560","3,114,783","3,143,016","3,149,736","3,169,873","3,172,409","3,198,411","3,219,225","3,215,574","3,231,064","3,282,070","3,307,766","3,333,483","3,343,067","3,451,282","3,504,293","3,557,972","3,567,866","3,636,541","3,647,390","3,681,452","3,739,119","3,772,005","3,739,794","3,818,076","3,836,282","3,907,472","3,913,541","3,959,009","3,981,819","4,080,703","4,047,156","3,989,957","3,969,393","4,018,273","4,041,093","4,121,442","4,155,905","4,237,830","4,261,637","4,277,664","4,302,767","4,406,029","4,464,783","4,490,672","4,534,930","4,620,581","4,591,708"
  Unused commercial real estate lines, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"66,016","60,119","56,055","51,683","49,247","47,872","49,375","46,885","47,383","48,380","51,324","53,547","58,789","64,042","67,733","68,732","68,085","69,944","74,354","76,593","78,896","84,426","87,594","89,982","94,223","102,657","106,535","115,578","120,008","125,913","130,958","139,351","142,522","150,048","147,373","147,205","146,497","153,933","153,788","161,244","158,049","166,397","165,637","172,280","166,717","165,700","170,124","173,876","174,178","183,190","191,965","200,008","208,999","223,983","246,704","259,836","270,899","295,852","317,705","335,022","347,595","357,325","360,503","366,050","368,491","375,862","372,119","359,047","341,575","322,929","289,197","251,742","214,337","185,857","167,570","152,134","143,453","136,198","133,401","132,298","131,491","136,919","140,267","147,527","161,900","172,204","182,891","190,852","202,640","215,976","236,152","250,036","255,310","271,121","285,977","301,957","308,134","328,633","347,912","353,175","359,240","377,023","377,546","388,466","387,195","396,137","401,235","412,900","414,281","434,578","443,763","447,588","449,163","467,151","475,877","484,464","456,789","458,438","469,656","478,320","487,188","511,350","544,592","578,893","595,990","649,104","671,716","674,112","652,975","630,838","599,420","568,823","539,307","519,443"
  All other unused loan commitments, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"3,217","4,070","5,141","5,531","5,893","6,636","7,812","7,489","6,921","7,173","7,236","7,451", N/A , N/A , N/A , N/A ,"610,718","627,901","617,443","612,890","606,236","607,599","604,690","609,139","609,270","601,497","606,473","605,250","615,418","633,593","652,652","682,817","698,339","710,706","751,914","785,584","809,851","838,062","866,839","891,801","923,975","953,023","971,872","1,017,063","1,046,404","1,101,552","1,169,648","1,221,306","1,291,257","1,328,438","1,365,275","1,428,161","1,441,971","1,472,414","1,524,570","1,583,812","1,576,287","1,588,433","1,612,903","1,627,239","1,623,474","1,609,299","1,618,816","1,601,453","1,553,372","1,588,441","1,577,684","1,571,642","1,552,923","1,565,345","1,586,045","1,527,691","1,577,289","1,549,258","1,614,981","1,664,652","1,692,305","1,744,021","1,818,914","1,876,535","1,925,694","2,024,236","2,064,567","2,141,309","2,192,492","2,308,312","2,414,612","2,366,588","2,306,826","2,277,479","2,178,573","2,015,228","1,953,264","1,933,291","1,920,881","1,900,674","2,117,963","2,108,977","2,178,186","1,855,486","1,941,602","1,873,860","1,939,700","1,885,902","2,012,497","2,041,854","2,064,329","2,090,901","2,126,852","2,223,619","2,295,191","2,275,301","2,341,895","2,418,040","2,516,419","2,540,535","2,621,688","2,684,992","2,765,334","2,807,474","2,809,810","2,774,805","2,835,431","2,830,516","2,874,939","2,884,530","2,907,711","2,945,135","3,113,296","3,141,793","3,159,013","3,112,537","3,203,139","3,238,105","3,268,535","3,329,742","3,068,501","3,426,919","3,523,156","3,577,125","3,793,294","3,934,873","3,980,601","3,870,487","4,092,577","4,108,022","4,103,917","4,142,036","4,175,827","4,260,923","4,281,386","4,182,819","4,283,275","4,241,536"
    Unused unsecured commercial real estate lines, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"10,991","9,767","9,325","9,023","8,154","7,865","8,972","8,786","8,456","7,842","7,956","8,742","9,512","10,830","11,527","11,361","11,856","10,671","10,656","11,145","12,544","13,285","14,554","16,916","16,917","17,710","20,715","21,947","23,039","23,449","23,374","22,033","24,659","25,935","25,473","25,043","23,758","28,841","26,570","30,581","28,286","29,407","28,772","30,894","29,332","28,401","27,154","26,963","26,509","27,001","28,016","28,107","30,197","29,215","34,801","33,531","32,878","39,569","41,651","42,841","45,032","46,003","49,858","50,553","50,008","52,518","53,907","53,160","54,221","51,924","44,684","40,634","36,397","35,297","33,619","32,470","30,113","28,878","30,068","33,064","31,321","33,512","34,000","37,630","40,603","40,610","40,687","40,974","44,902","45,312","49,395","54,050","52,706","57,325","58,046","60,104","61,354","61,148","71,475","60,209","67,252","70,032","66,407","71,816","72,792","74,973","75,218","81,348","83,180","92,058","94,280","91,002","92,278","97,566","98,096","102,775","79,119","90,502","97,354","100,994","93,460","95,661","102,614","101,256","97,275","103,540","106,611","107,015","105,337","107,375","102,933","105,291","104,660","100,329"
  Unused securities underwriting commitments, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"5,078","3,344","3,257","3,191","3,105","2,771","2,781","2,692","2,195","2,389","1,678","1,515","6,710","2,025","1,894","2,130","2,606","1,870","2,010","1,890","1,380","1,181","1,601","1,155","1,186","1,469","1,435",626,716,825,646,496,487,578,297,213,511,526,434,311,504,788,"2,917","2,823","2,415","3,111","2,908","2,861","2,942","2,730","2,852","2,313","2,370","2,421","2,520","2,461","2,295","2,204","2,133","2,199","2,183","2,213","2,129","2,281","2,160","2,182","2,170","2,377","2,423","2,346",559,371,"3,975",346,434,211,134,51,176,147,182,209,272,188,246,231,243,223,187,348,285,321,405,355,403,509,381,390,237,415,949,468,312,303,355,353,337,327,289,316,358,9,50,37,41,12,109,46,98,33,3,366,123,0,136,0,3,0,8,3,0, -   , -   ,332,5,222,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 3Q 2021, templates included highlighted items which did not include data for insured savings institutions that filed Thrift Financial Reports (TFRs). Current templates have been refreshed for all periods to include data from all insured institutions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
